Industry,Company_Size,Tech_Stack,Hiring_Budget,Role,Seniority_Level,Skills_Required,Years_Experience,Project_Type,Project_Timeline,Expected_Deliverables,Current_Team,Collaboration_Model,Diversity_Goals,Number_of_Hires,Hiring_Method
Logistics,Small,"Python,XGBoost,MySQL",254029,Computer Vision Engineer,Junior,"R,Python,Bioinformatics",2,Computer Vision,9 months,Demand forecasting system,2 ML Engineers,Cross-functional,At least 30% female candidates,3,Full-time
EdTech,Large,"Python,Scikit-learn,Azure",207712,Data Engineer,Mid-level,"Python,Tableau,SQL",5,Predictive Analytics,6 months,Deployable chatbot,1 Analyst,Siloed,At least 1 woman per role,1,"Full-time, Remote"
Gaming,Small,"R,Python,Azure ML",186899,Data Analyst,Junior,"Python,Tableau,SQL",3,Forecasting,3 months,Forecast models,1 ML Engineer,Siloed,None,2,Full-time
E-commerce,Small,"Python,Keras,NLP",294962,ML Researcher,Mid-level,"Python,Keras,NLP",6,Recommendation System,9 months,Research papers,2 Data Engineers,Siloed,Ensure diverse academic backgrounds,2,Hybrid
Manufacturing,Medium,"Python,TensorFlow,AWS",235074,AI Researcher,Junior,"Python,Keras,NLP",6,Predictive Analytics,6 months,Dashboards and reports,2 Developers,Cross-functional,Ensure diverse academic backgrounds,1,Contract
Technology,Small,"Python,TensorFlow,AWS",219655,Machine Learning Engineer,Mid-level,"Python,Spark,AWS Glue",3,Forecasting,6 months,Object detection model,4 Researchers,Cross-functional,50% gender parity,1,Contract
Retail,Medium,"Python,XGBoost,MySQL",216943,AI Researcher,Mid-level,"Python,XGBoost,MySQL",5,Forecasting,5 months,Dashboards and reports,1 ML Engineer,Cross-functional,None,1,Hybrid
Technology,Small,"Python,XGBoost,MySQL",156182,Data Analyst,Senior,"Python,Spark,AWS Glue",6,Computer Vision,5 months,Medical ML Models,2 Developers,Cross-functional,At least 1 person with disability,3,Full-time
Logistics,Small,"Python,FastAPI,SQL",257585,Machine Learning Engineer,Junior,"Python,Keras,NLP",5,Forecasting,12 months,Sentiment classifier,4 Researchers,Siloed,At least 1 person with disability,2,Hybrid
EdTech,Small,"Python,Tableau,SQL",179205,Computer Vision Engineer,Senior,"Python,PyTorch,Deep Learning",1,Predictive Analytics,12 months,Forecast models,2 Developers,Siloed,None,3,Full-time
Logistics,Small,"Python,Scikit-learn,Azure",172478,ML Engineer,Mid-level,"Python,Keras,NLP",6,Fraud Detection,12 months,Sentiment classifier,2 Data Engineers,Cross-functional,Include fresh grads,1,Full-time
Gaming,Large,"Python,Scikit-learn,Azure",278456,AI Researcher,Senior,"Python,Scikit-learn,NLP",6,Recommendation System,5 months,Sentiment classifier,4 Researchers,Siloed,At least 1 woman per role,3,Full-time
E-commerce,Medium,"Python,Spark,AWS Glue",279914,ML Researcher,Senior,"Python,Scikit-learn,EDA",5,Forecasting,4 months,Object detection model,1 Analyst,Siloed,At least 30% female candidates,2,Contract
EdTech,Large,"Python,OpenCV,PyTorch",299994,AI Researcher,Senior,"Python,Scikit-learn,EDA",6,NLP,4 months,Forecast models,2 Data Engineers,Siloed,At least 1 woman per role,2,Remote
EdTech,Large,"Python,Keras,NLP",221572,Data Scientist,Mid-level,"Python,Scikit-learn,NLP",6,Predictive Analytics,9 months,Demand forecasting system,5 Data Scientists,Siloed,Ensure diverse academic backgrounds,3,Full-time
Gaming,Large,"Python,Keras,NLP",208293,Machine Learning Engineer,Junior,"Python,Pandas,SQL",2,Forecasting,6 months,Demand forecasting system,1 BI Engineer,Cross-functional,None,3,Contract
Healthcare,Medium,"Python,Scikit-learn,Azure",265421,AI Researcher,Mid-level,"Python,Scikit-learn,NLP",1,Recommendation System,5 months,ETL pipelines,1 Analyst,Cross-functional,At least 1 woman per role,1,Contract
Gaming,Large,"R,Python,Azure ML",205747,Computer Vision Engineer,Mid-level,"R,Python,Bioinformatics",1,NLP,9 months,ETL pipelines,"1 Data Scientist, 1 PM",Cross-functional,None,3,Contract
Technology,Large,"Python,TensorFlow,AWS",264282,Data Analyst,Junior,"Python,Scikit-learn,EDA",3,Computer Vision,3 months,Medical ML Models,2 Developers,Siloed,Ensure diverse academic backgrounds,1,Full-time
EdTech,Medium,"Python,Tableau,SQL",290796,ML Engineer,Mid-level,"Python,Pandas,SQL",3,Recommendation System,5 months,ETL pipelines,1 Analyst,Siloed,At least 30% female candidates,1,Contract
Finance,Small,"Python,TensorFlow,AWS",254584,AI Researcher,Junior,"Python,Scikit-learn,EDA",6,Fraud Detection,3 months,Medical ML Models,1 ML Engineer,Cross-functional,Include fresh grads,1,Full-time
Technology,Small,"Python,PyTorch,GCP",209255,ML Researcher,Mid-level,"Python,PyTorch,Deep Learning",5,Forecasting,6 months,Dashboards and reports,2 Data Engineers,Cross-functional,None,2,Full-time
Manufacturing,Medium,"Python,XGBoost,MySQL",258763,AI Researcher,Mid-level,"Python,PyTorch,Deep Learning",5,Fraud Detection,9 months,Research papers,1 ML Engineer,Cross-functional,At least 1 person with disability,1,Hybrid
E-commerce,Large,"Python,Spark,AWS Glue",168942,Data Analyst,Mid-level,"R,Python,Bioinformatics",3,Computer Vision,3 months,Object detection model,1 BI Engineer,Cross-functional,50% gender parity,2,Remote
E-commerce,Small,"Python,TensorFlow,AWS",276064,Data Scientist,Junior,"Python,XGBoost,MySQL",6,Recommendation System,4 months,Research papers,2 Developers,Cross-functional,50% gender parity,3,Full-time
EdTech,Large,"Python,Spark,AWS Glue",219734,Data Engineer,Mid-level,"Python,Tableau,SQL",1,NLP,4 months,Deployable chatbot,1 ML Engineer,Siloed,At least 1 person with disability,3,Remote
Gaming,Large,"Python,PyTorch,GCP",124903,Machine Learning Engineer,Junior,"Python,Pandas,SQL",6,Fraud Detection,4 months,Forecast models,"1 Data Scientist, 1 PM",Siloed,Include fresh grads,2,Full-time
Retail,Medium,"Python,FastAPI,SQL",129840,Computer Vision Engineer,Mid-level,"Python,Tableau,SQL",3,Recommendation System,12 months,Interactive dashboards,4 Researchers,Cross-functional,At least 30% female candidates,1,Full-time
Finance,Small,"R,Python,Azure ML",254861,ML Researcher,Senior,"Python,Tableau,SQL",2,Predictive Analytics,6 months,Forecast models,2 ML Engineers,Cross-functional,At least 1 person with disability,3,Contract
Logistics,Medium,"Python,PyTorch,GCP",207815,ML Researcher,Junior,"Python,PyTorch,Deep Learning",3,Fraud Detection,5 months,Deployable chatbot,2 Developers,Cross-functional,50% gender parity,2,"Full-time, Remote"
Manufacturing,Large,"Python,XGBoost,MySQL",124967,Computer Vision Engineer,Senior,"Python,Spark,AWS Glue",4,Forecasting,12 months,Medical ML Models,1 Analyst,Cross-functional,At least 30% female candidates,3,Contract
Manufacturing,Medium,"Python,Tableau,SQL",143359,Data Scientist,Mid-level,"Python,Scikit-learn,EDA",2,Forecasting,5 months,Deployable chatbot,2 Developers,Cross-functional,Include fresh grads,3,Hybrid
Gaming,Small,"Python,PyTorch,GCP",220348,ML Researcher,Senior,"Python,Tableau,SQL",1,Recommendation System,6 months,Forecast models,5 Data Scientists,Siloed,50% gender parity,3,Full-time
Healthcare,Medium,"R,Python,Azure ML",109393,Machine Learning Engineer,Junior,"Python,XGBoost,MySQL",5,Fraud Detection,5 months,Object detection model,2 Developers,Cross-functional,50% gender parity,3,Hybrid
Retail,Medium,"Python,TensorFlow,AWS",158436,ML Researcher,Mid-level,"Python,OpenCV,PyTorch",5,Predictive Analytics,6 months,Forecast models,1 BI Engineer,Cross-functional,At least 30% female candidates,3,Contract
Technology,Medium,"Python,Scikit-learn,Azure",266110,Data Engineer,Senior,"Python,OpenCV,PyTorch",3,Fraud Detection,3 months,Deployable chatbot,1 Analyst,Siloed,Ensure diverse academic backgrounds,3,Hybrid
Healthcare,Medium,"Python,XGBoost,MySQL",151359,Data Analyst,Junior,"R,Python,Bioinformatics",2,Recommendation System,4 months,Forecast models,5 Data Scientists,Siloed,At least 30% female candidates,3,"Full-time, Remote"
Healthcare,Medium,"Python,Tableau,SQL",272610,AI Researcher,Mid-level,"Python,Scikit-learn,NLP",5,Fraud Detection,3 months,Object detection model,4 Researchers,Siloed,Include fresh grads,1,"Full-time, Remote"
Finance,Large,"Python,FastAPI,SQL",127146,Computer Vision Engineer,Senior,"Python,XGBoost,MySQL",5,Forecasting,9 months,Medical ML Models,4 Researchers,Cross-functional,None,2,Remote
EdTech,Medium,"Python,FastAPI,SQL",136223,Computer Vision Engineer,Senior,"Python,OpenCV,PyTorch",3,Fraud Detection,9 months,Forecast models,2 Developers,Cross-functional,Ensure diverse academic backgrounds,1,"Full-time, Remote"
EdTech,Large,"Python,Scikit-learn,Azure",276258,AI Researcher,Senior,"Python,Pandas,SQL",5,Predictive Analytics,12 months,Forecast models,5 Data Scientists,Siloed,Include fresh grads,2,"Full-time, Remote"
Gaming,Large,"Python,OpenCV,PyTorch",174954,Computer Vision Engineer,Junior,"Python,OpenCV,PyTorch",1,NLP,6 months,Dashboards and reports,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,Ensure diverse academic backgrounds,2,Contract
EdTech,Large,"Python,Keras,NLP",138385,Machine Learning Engineer,Senior,"Python,Keras,NLP",2,Predictive Analytics,3 months,Forecast models,1 BI Engineer,Cross-functional,Include fresh grads,3,"Full-time, Remote"
E-commerce,Large,"Python,OpenCV,PyTorch",201944,Data Analyst,Senior,"Python,Keras,NLP",6,Fraud Detection,3 months,Medical ML Models,4 Researchers,Siloed,At least 1 person with disability,3,Remote
Manufacturing,Small,"Python,TensorFlow,AWS",294948,Data Engineer,Junior,"Python,XGBoost,MySQL",4,Computer Vision,12 months,Forecast models,2 ML Engineers,Cross-functional,At least 1 person with disability,3,Contract
EdTech,Medium,"Python,FastAPI,SQL",278954,Data Scientist,Junior,"Python,Pandas,SQL",6,Predictive Analytics,3 months,Medical ML Models,"2 Data Scientists, 1 MLOps Engineer",Siloed,None,3,Remote
Finance,Small,"Python,XGBoost,MySQL",166850,Machine Learning Engineer,Mid-level,"Python,Tableau,SQL",6,Computer Vision,3 months,Dashboards and reports,"1 Data Scientist, 1 PM",Cross-functional,At least 1 person with disability,3,"Full-time, Remote"
EdTech,Medium,"Python,XGBoost,MySQL",244221,ML Engineer,Junior,"Python,Scikit-learn,EDA",5,Computer Vision,4 months,Object detection model,5 Data Scientists,Cross-functional,At least 1 woman per role,3,"Full-time, Remote"
Gaming,Small,"Python,Scikit-learn,Azure",157985,Data Analyst,Senior,"Python,Scikit-learn,EDA",3,Forecasting,5 months,ETL pipelines,2 ML Engineers,Siloed,Include fresh grads,3,Full-time
Healthcare,Large,"Python,Scikit-learn,Azure",216828,Data Analyst,Senior,"Python,XGBoost,MySQL",5,Computer Vision,3 months,Forecast models,4 Researchers,Cross-functional,At least 1 woman per role,2,"Full-time, Remote"
EdTech,Small,"Python,OpenCV,PyTorch",198293,ML Researcher,Mid-level,"Python,Scikit-learn,NLP",3,Fraud Detection,4 months,Forecast models,2 Developers,Cross-functional,At least 30% female candidates,1,"Full-time, Remote"
Manufacturing,Small,"Python,PyTorch,GCP",155255,Data Analyst,Senior,"R,Python,Bioinformatics",1,Computer Vision,9 months,Medical ML Models,5 Data Scientists,Cross-functional,At least 30% female candidates,2,Remote
Technology,Small,"Python,PyTorch,GCP",114226,AI Researcher,Mid-level,"Python,OpenCV,PyTorch",1,Predictive Analytics,4 months,Sentiment classifier,4 Researchers,Siloed,At least 1 woman per role,3,Hybrid
Gaming,Medium,"Python,TensorFlow,AWS",202105,Data Scientist,Senior,"Python,Scikit-learn,NLP",6,Fraud Detection,9 months,Research papers,2 ML Engineers,Cross-functional,50% gender parity,1,Remote
Manufacturing,Small,"Python,Keras,NLP",279798,Data Engineer,Senior,"Python,PyTorch,Deep Learning",3,Recommendation System,6 months,Medical ML Models,"2 Data Scientists, 1 MLOps Engineer",Siloed,Ensure diverse academic backgrounds,3,Contract
Finance,Large,"R,Python,Azure ML",243058,Data Engineer,Senior,"Python,Pandas,SQL",3,Fraud Detection,12 months,Forecast models,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 30% female candidates,1,Full-time
Gaming,Large,"Python,OpenCV,PyTorch",122315,Data Engineer,Junior,"Python,Scikit-learn,EDA",2,Recommendation System,12 months,Object detection model,1 Analyst,Cross-functional,Ensure diverse academic backgrounds,1,"Full-time, Remote"
EdTech,Small,"Python,PyTorch,GCP",147541,Machine Learning Engineer,Senior,"Python,Tableau,SQL",6,Predictive Analytics,3 months,Sentiment classifier,5 Data Scientists,Siloed,At least 30% female candidates,1,"Full-time, Remote"
Logistics,Medium,"Python,Scikit-learn,Azure",133610,Data Analyst,Junior,"Python,Keras,NLP",5,NLP,4 months,Forecast models,1 BI Engineer,Siloed,None,3,Remote
Finance,Large,"Python,XGBoost,MySQL",195549,ML Engineer,Mid-level,"Python,Pandas,SQL",1,Forecasting,4 months,ETL pipelines,4 Researchers,Siloed,At least 1 person with disability,2,Contract
Retail,Medium,"Python,Tableau,SQL",216747,ML Engineer,Mid-level,"Python,Tableau,SQL",5,NLP,4 months,Demand forecasting system,5 Data Scientists,Siloed,At least 1 person with disability,1,"Full-time, Remote"
E-commerce,Medium,"Python,PyTorch,GCP",290690,Data Scientist,Junior,"Python,OpenCV,PyTorch",6,NLP,9 months,Demand forecasting system,4 Researchers,Cross-functional,At least 30% female candidates,3,Remote
Manufacturing,Large,"Python,Tableau,SQL",271418,AI Researcher,Mid-level,"R,Python,Bioinformatics",2,Predictive Analytics,12 months,Sentiment classifier,1 Analyst,Siloed,Include fresh grads,3,Full-time
Gaming,Medium,"Python,OpenCV,PyTorch",102776,Data Analyst,Senior,"Python,Pandas,SQL",5,Computer Vision,6 months,Dashboards and reports,1 Analyst,Cross-functional,50% gender parity,3,Hybrid
Retail,Small,"Python,Spark,AWS Glue",299615,ML Researcher,Junior,"Python,PyTorch,Deep Learning",3,Forecasting,4 months,Deployable chatbot,2 Data Engineers,Siloed,At least 1 woman per role,2,Hybrid
Technology,Small,"Python,Scikit-learn,Azure",127059,Data Engineer,Senior,"Python,Keras,NLP",5,Predictive Analytics,9 months,Dashboards and reports,4 Researchers,Siloed,None,3,Full-time
Manufacturing,Medium,"R,Python,Azure ML",158431,Computer Vision Engineer,Mid-level,"Python,Scikit-learn,EDA",4,Recommendation System,9 months,Deployable chatbot,2 Developers,Cross-functional,At least 1 woman per role,1,Contract
Healthcare,Large,"Python,Keras,NLP",155447,AI Researcher,Junior,"Python,Pandas,SQL",3,Predictive Analytics,12 months,Research papers,2 Data Engineers,Siloed,At least 1 person with disability,2,Full-time
Logistics,Large,"Python,Tableau,SQL",225572,Data Analyst,Senior,"Python,Pandas,SQL",6,Recommendation System,3 months,ETL pipelines,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,Include fresh grads,3,Contract
Finance,Large,"Python,OpenCV,PyTorch",110273,AI Researcher,Junior,"Python,Pandas,SQL",3,Computer Vision,9 months,Medical ML Models,2 ML Engineers,Cross-functional,50% gender parity,3,Remote
Healthcare,Small,"Python,Tableau,SQL",258997,ML Researcher,Mid-level,"Python,Pandas,SQL",2,Recommendation System,9 months,Dashboards and reports,2 ML Engineers,Cross-functional,Include fresh grads,3,"Full-time, Remote"
EdTech,Small,"Python,Scikit-learn,Azure",218874,Data Scientist,Junior,"R,Python,Bioinformatics",4,Computer Vision,3 months,Deployable chatbot,2 Data Engineers,Siloed,At least 1 person with disability,1,"Full-time, Remote"
Healthcare,Small,"Python,Tableau,SQL",261152,Machine Learning Engineer,Senior,"Python,OpenCV,PyTorch",1,NLP,6 months,Dashboards and reports,2 ML Engineers,Cross-functional,At least 1 person with disability,3,Hybrid
Manufacturing,Medium,"Python,Scikit-learn,Azure",111387,Computer Vision Engineer,Junior,"Python,Tableau,SQL",4,Forecasting,9 months,Demand forecasting system,5 Data Scientists,Siloed,Ensure diverse academic backgrounds,2,Hybrid
E-commerce,Small,"Python,Keras,NLP",256838,Computer Vision Engineer,Mid-level,"Python,Spark,AWS Glue",1,Fraud Detection,12 months,Deployable chatbot,2 ML Engineers,Cross-functional,Include fresh grads,1,Hybrid
E-commerce,Large,"Python,Scikit-learn,Azure",207176,ML Engineer,Junior,"Python,Pandas,SQL",4,Fraud Detection,9 months,Sentiment classifier,1 ML Engineer,Siloed,Include fresh grads,2,"Full-time, Remote"
EdTech,Large,"R,Python,Azure ML",297911,Data Analyst,Mid-level,"Python,OpenCV,PyTorch",5,Recommendation System,4 months,Forecast models,2 Developers,Siloed,None,2,"Full-time, Remote"
Retail,Large,"R,Python,Azure ML",292880,AI Researcher,Senior,"Python,PyTorch,Deep Learning",6,Computer Vision,6 months,Dashboards and reports,5 Data Scientists,Cross-functional,Include fresh grads,2,Remote
Manufacturing,Large,"Python,TensorFlow,AWS",142136,Computer Vision Engineer,Senior,"Python,Scikit-learn,NLP",1,Computer Vision,6 months,Demand forecasting system,4 Researchers,Cross-functional,At least 30% female candidates,2,Contract
Retail,Small,"Python,XGBoost,MySQL",109897,Computer Vision Engineer,Mid-level,"Python,XGBoost,MySQL",6,Predictive Analytics,5 months,Demand forecasting system,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,50% gender parity,2,Hybrid
Technology,Small,"Python,OpenCV,PyTorch",174974,Data Analyst,Junior,"Python,XGBoost,MySQL",5,Predictive Analytics,12 months,ETL pipelines,2 ML Engineers,Cross-functional,50% gender parity,1,Remote
E-commerce,Large,"Python,TensorFlow,AWS",141273,Data Scientist,Mid-level,"R,Python,Bioinformatics",3,Fraud Detection,6 months,Medical ML Models,2 ML Engineers,Cross-functional,Include fresh grads,1,Full-time
Healthcare,Large,"Python,Keras,NLP",290352,ML Engineer,Mid-level,"Python,Keras,NLP",2,Predictive Analytics,4 months,Interactive dashboards,4 Researchers,Cross-functional,None,1,Hybrid
Manufacturing,Small,"Python,OpenCV,PyTorch",118975,Data Engineer,Mid-level,"Python,PyTorch,Deep Learning",5,Forecasting,9 months,Demand forecasting system,1 ML Engineer,Siloed,At least 1 woman per role,3,Hybrid
E-commerce,Medium,"Python,Tableau,SQL",278675,ML Researcher,Senior,"Python,Scikit-learn,NLP",4,NLP,5 months,Research papers,4 Researchers,Cross-functional,50% gender parity,3,Contract
Retail,Medium,"Python,Scikit-learn,Azure",235398,Machine Learning Engineer,Senior,"Python,Keras,NLP",2,Forecasting,3 months,Medical ML Models,"1 Data Scientist, 1 PM",Cross-functional,Include fresh grads,1,Hybrid
Retail,Medium,"Python,Spark,AWS Glue",250395,Data Engineer,Junior,"Python,Spark,AWS Glue",4,Fraud Detection,4 months,ETL pipelines,2 Data Engineers,Siloed,Ensure diverse academic backgrounds,1,Contract
E-commerce,Large,"Python,Scikit-learn,Azure",140893,Data Scientist,Junior,"Python,PyTorch,Deep Learning",6,Fraud Detection,6 months,Demand forecasting system,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 1 person with disability,2,Remote
Retail,Medium,"Python,XGBoost,MySQL",172019,ML Researcher,Junior,"Python,OpenCV,PyTorch",3,Recommendation System,4 months,Demand forecasting system,1 Analyst,Cross-functional,Include fresh grads,2,Hybrid
Manufacturing,Small,"Python,OpenCV,PyTorch",191039,Computer Vision Engineer,Senior,"Python,Pandas,SQL",4,NLP,12 months,Object detection model,1 BI Engineer,Siloed,50% gender parity,1,Full-time
E-commerce,Medium,"Python,XGBoost,MySQL",126410,ML Engineer,Mid-level,"Python,XGBoost,MySQL",3,Computer Vision,9 months,Sentiment classifier,2 Data Engineers,Siloed,At least 1 woman per role,3,Remote
Retail,Small,"Python,Tableau,SQL",211134,Data Analyst,Mid-level,"Python,Scikit-learn,EDA",3,Recommendation System,5 months,Interactive dashboards,1 Analyst,Cross-functional,Include fresh grads,3,Contract
Healthcare,Large,"Python,Keras,NLP",161814,Computer Vision Engineer,Mid-level,"Python,Spark,AWS Glue",2,Fraud Detection,4 months,Interactive dashboards,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 1 woman per role,2,Contract
Manufacturing,Large,"Python,Scikit-learn,Azure",227564,Data Engineer,Mid-level,"Python,OpenCV,PyTorch",5,NLP,6 months,Research papers,1 Analyst,Cross-functional,Ensure diverse academic backgrounds,2,Hybrid
Healthcare,Medium,"Python,Scikit-learn,Azure",168096,ML Engineer,Mid-level,"Python,OpenCV,PyTorch",5,Forecasting,5 months,Deployable chatbot,4 Researchers,Cross-functional,None,3,"Full-time, Remote"
E-commerce,Large,"Python,XGBoost,MySQL",270358,AI Researcher,Mid-level,"Python,Scikit-learn,EDA",3,Fraud Detection,9 months,Interactive dashboards,1 BI Engineer,Cross-functional,At least 1 woman per role,3,Remote
Logistics,Large,"Python,FastAPI,SQL",143928,ML Engineer,Mid-level,"Python,XGBoost,MySQL",5,Recommendation System,3 months,Research papers,1 Analyst,Siloed,Ensure diverse academic backgrounds,2,Remote
EdTech,Large,"Python,Keras,NLP",258698,Computer Vision Engineer,Mid-level,"Python,Tableau,SQL",3,Fraud Detection,9 months,Object detection model,1 BI Engineer,Siloed,Ensure diverse academic backgrounds,1,Full-time
Finance,Large,"Python,Spark,AWS Glue",273545,Data Engineer,Senior,"Python,PyTorch,Deep Learning",2,Computer Vision,6 months,Research papers,5 Data Scientists,Cross-functional,At least 1 woman per role,3,Full-time
Technology,Medium,"Python,OpenCV,PyTorch",121823,Data Scientist,Mid-level,"Python,XGBoost,MySQL",2,NLP,12 months,Medical ML Models,1 ML Engineer,Cross-functional,Ensure diverse academic backgrounds,3,Remote
Logistics,Large,"Python,FastAPI,SQL",134413,AI Researcher,Junior,"Python,Scikit-learn,NLP",6,Forecasting,5 months,Interactive dashboards,1 BI Engineer,Siloed,Include fresh grads,2,Contract
Manufacturing,Small,"Python,XGBoost,MySQL",256653,ML Researcher,Senior,"Python,XGBoost,MySQL",4,Predictive Analytics,12 months,Object detection model,1 ML Engineer,Siloed,At least 1 woman per role,3,Contract
Healthcare,Medium,"Python,Keras,NLP",195887,Computer Vision Engineer,Mid-level,"Python,Pandas,SQL",3,NLP,3 months,Object detection model,1 Analyst,Siloed,None,2,"Full-time, Remote"
Technology,Large,"Python,Tableau,SQL",298042,ML Researcher,Mid-level,"Python,Scikit-learn,NLP",4,Forecasting,9 months,ETL pipelines,"2 Data Scientists, 1 MLOps Engineer",Siloed,Ensure diverse academic backgrounds,2,"Full-time, Remote"
Gaming,Medium,"Python,Spark,AWS Glue",142800,Computer Vision Engineer,Mid-level,"Python,Spark,AWS Glue",3,NLP,6 months,ETL pipelines,2 Developers,Siloed,None,3,"Full-time, Remote"
EdTech,Medium,"Python,Spark,AWS Glue",117947,AI Researcher,Junior,"Python,Keras,NLP",1,Fraud Detection,6 months,Demand forecasting system,1 BI Engineer,Siloed,50% gender parity,3,Hybrid
E-commerce,Medium,"Python,TensorFlow,AWS",139885,Machine Learning Engineer,Senior,"Python,Scikit-learn,NLP",2,NLP,5 months,Sentiment classifier,1 Analyst,Siloed,50% gender parity,1,Contract
Healthcare,Small,"Python,TensorFlow,AWS",229388,Data Analyst,Mid-level,"R,Python,Bioinformatics",3,Recommendation System,5 months,Interactive dashboards,"2 Data Scientists, 1 MLOps Engineer",Siloed,At least 30% female candidates,1,Full-time
EdTech,Medium,"Python,PyTorch,GCP",242394,ML Researcher,Junior,"Python,Spark,AWS Glue",3,Recommendation System,3 months,Research papers,2 Data Engineers,Siloed,At least 1 person with disability,2,Contract
Technology,Small,"Python,Tableau,SQL",292760,Data Scientist,Senior,"Python,Spark,AWS Glue",4,Recommendation System,12 months,Sentiment classifier,"1 Data Scientist, 1 PM",Cross-functional,50% gender parity,3,Full-time
Manufacturing,Large,"Python,PyTorch,GCP",166404,ML Researcher,Senior,"Python,Keras,NLP",2,Forecasting,3 months,ETL pipelines,5 Data Scientists,Cross-functional,50% gender parity,2,Remote
Technology,Small,"Python,Keras,NLP",253274,Data Scientist,Mid-level,"Python,Spark,AWS Glue",1,NLP,9 months,Interactive dashboards,2 ML Engineers,Cross-functional,None,1,Contract
Finance,Medium,"Python,PyTorch,GCP",279816,ML Engineer,Senior,"Python,Scikit-learn,NLP",1,Forecasting,12 months,Dashboards and reports,2 Developers,Cross-functional,Ensure diverse academic backgrounds,2,Contract
Retail,Large,"Python,Scikit-learn,Azure",215007,Data Analyst,Junior,"R,Python,Bioinformatics",3,Fraud Detection,4 months,Sentiment classifier,"2 Data Scientists, 1 MLOps Engineer",Siloed,50% gender parity,2,"Full-time, Remote"
EdTech,Large,"Python,Tableau,SQL",149748,AI Researcher,Senior,"Python,Scikit-learn,EDA",3,Fraud Detection,6 months,Sentiment classifier,2 ML Engineers,Cross-functional,At least 30% female candidates,3,Contract
Logistics,Medium,"Python,Keras,NLP",241978,ML Engineer,Mid-level,"Python,Scikit-learn,NLP",6,Predictive Analytics,6 months,Dashboards and reports,"2 Data Scientists, 1 MLOps Engineer",Siloed,At least 1 person with disability,3,Contract
Retail,Large,"Python,PyTorch,GCP",272566,Computer Vision Engineer,Junior,"Python,OpenCV,PyTorch",6,Recommendation System,9 months,Dashboards and reports,2 ML Engineers,Siloed,None,2,Remote
Healthcare,Small,"Python,OpenCV,PyTorch",272724,Data Scientist,Junior,"Python,Pandas,SQL",2,NLP,4 months,Research papers,1 BI Engineer,Cross-functional,At least 30% female candidates,1,"Full-time, Remote"
Gaming,Large,"Python,Tableau,SQL",237840,Data Engineer,Junior,"Python,Scikit-learn,EDA",2,Predictive Analytics,12 months,Research papers,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,50% gender parity,2,Full-time
Logistics,Large,"Python,TensorFlow,AWS",194614,Computer Vision Engineer,Mid-level,"Python,Scikit-learn,NLP",5,Forecasting,9 months,Deployable chatbot,5 Data Scientists,Siloed,At least 30% female candidates,1,"Full-time, Remote"
Healthcare,Small,"Python,Spark,AWS Glue",239371,Computer Vision Engineer,Junior,"Python,Spark,AWS Glue",5,Fraud Detection,4 months,Demand forecasting system,1 Analyst,Siloed,50% gender parity,1,"Full-time, Remote"
Retail,Large,"Python,Tableau,SQL",284169,Computer Vision Engineer,Junior,"Python,Pandas,SQL",2,Predictive Analytics,6 months,Object detection model,"1 Data Scientist, 1 PM",Cross-functional,Include fresh grads,3,Hybrid
Retail,Medium,"Python,OpenCV,PyTorch",185106,ML Engineer,Mid-level,"R,Python,Bioinformatics",6,Forecasting,9 months,ETL pipelines,2 ML Engineers,Cross-functional,At least 1 woman per role,3,Remote
Retail,Medium,"Python,Tableau,SQL",204094,Machine Learning Engineer,Senior,"Python,Scikit-learn,NLP",3,Predictive Analytics,3 months,Object detection model,1 Analyst,Siloed,At least 30% female candidates,2,Contract
E-commerce,Medium,"Python,TensorFlow,AWS",280805,Data Engineer,Senior,"Python,OpenCV,PyTorch",5,Predictive Analytics,9 months,Dashboards and reports,5 Data Scientists,Cross-functional,At least 1 woman per role,2,Contract
Finance,Medium,"Python,Scikit-learn,Azure",252608,Data Analyst,Junior,"Python,Keras,NLP",3,NLP,9 months,Medical ML Models,2 ML Engineers,Cross-functional,50% gender parity,1,Remote
Logistics,Small,"Python,Tableau,SQL",280773,Data Scientist,Senior,"Python,Keras,NLP",1,Fraud Detection,9 months,Medical ML Models,5 Data Scientists,Cross-functional,At least 1 person with disability,2,Remote
Gaming,Medium,"Python,PyTorch,GCP",159432,Machine Learning Engineer,Senior,"R,Python,Bioinformatics",1,Forecasting,9 months,Deployable chatbot,"1 Data Scientist, 1 PM",Cross-functional,None,3,Contract
Finance,Small,"R,Python,Azure ML",216815,Data Scientist,Junior,"R,Python,Bioinformatics",3,Recommendation System,4 months,Dashboards and reports,"1 Data Scientist, 1 PM",Cross-functional,At least 1 woman per role,3,Full-time
Manufacturing,Medium,"Python,Keras,NLP",122302,Computer Vision Engineer,Senior,"R,Python,Bioinformatics",6,Computer Vision,4 months,Interactive dashboards,2 Developers,Cross-functional,At least 1 woman per role,2,"Full-time, Remote"
